iter	Passed	Remaining
428	1710	2277
429	1714	2272
430	1719	2270
431	1725	2268
432	1729	2265
433	1734	2261
434	1737	2256
435	1741	2253
436	1746	2249
437	1749	2244
438	1752	2239
439	1755	2234
440	1758	2229
441	1763	2226
442	1768	2223
443	1773	2220
444	1777	2216
445	1780	2212
446	1784	2207
447	1788	2203
448	1791	2198
449	1794	2193
450	1798	2189
451	1810	2194
452	1820	2198
453	1827	2197
454	1837	2200
455	1840	2195
456	1843	2190
457	1847	2186
458	1853	2184
459	1856	2179
460	1862	2177
461	1873	2181
462	1878	2178
463	1885	2178
464	1889	2173
465	1892	2168
466	1896	2164
467	1901	2161
468	1908	2160
469	1913	2158
470	1919	2156
471	1957	2189
472	1962	2186
473	1966	2182
474	1970	2178
475	1974	2173
476	1978	2169
477	1981	2163
478	1984	2158
479	1988	2154
480	2008	2167
481	2012	2162
482	2016	2157
483	2019	2152
484	2023	2148
485	2026	2143
486	2029	2137
487	2032	2132
488	2035	2127
489	2039	2122
490	2042	2117
491	2047	2113
492	2051	2110
493	2057	2107
494	2060	2102
495	2063	2096
496	2066	2091
497	2071	2087
498	2074	2083
499	2078	2078
500	2081	2072
501	2084	2067
502	2089	2064
503	2093	2060
504	2098	2056
505	2104	2054
506	2108	2050
507	2111	2045
508	2115	2040
509	2119	2036
510	2124	2033
511	2128	2028
512	2135	2026
513	2138	2022
514	2142	2018
515	2147	2014
516	2154	2012
517	2158	2008
518	2162	2004
519	2167	2000
520	2172	1997
521	2176	1992
522	2200	2006
523	2203	2001
524	2206	1996
525	2209	1991
526	2213	1986
527	2216	1981
528	2219	1976
529	2223	1971
530	2226	1966
531	2230	1962
532	2233	1957
533	2238	1953
534	2243	1949
535	2248	1946
536	2251	1941
537	2254	1936
538	2257	1930
539	2260	1925
540	2264	1921
541	2267	1915
542	2270	1910
543	2273	1905
544	2276	1900
545	2280	1895
546	2285	1892
547	2290	1889
548	2295	1885
549	2299	1881
550	2302	1876
551	2305	1871
552	2309	1867
553	2312	1862
554	2315	1856
555	2319	1852
556	2323	1847
557	2326	1843
558	2330	1838
559	2335	1834
560	2340	1831
561	2345	1827
562	2349	1823
563	2353	1819
564	2357	1815
565	2362	1811
566	2365	1806
567	2368	1801
568	2390	1810
569	2394	1806
570	2397	1801
571	2400	1796
572	2404	1791
573	2407	1786
574	2410	1781
575	2414	1777
576	2417	1772
577	2421	1768
578	2425	1763
579	2430	1760
580	2435	1756
581	2440	1753
582	2443	1748
583	2446	1743
584	2450	1738
585	2454	1733
586	2457	1728
587	2459	1723
588	2463	1718
589	2466	1713
590	2470	1709
591	2473	1704
592	2477	1700
593	2482	1696
594	2488	1693
595	2491	1688
596	2494	1683
597	2497	1678
598	2501	1674
599	2504	1669
600	2508	1665
601	2511	1660
602	2514	1655
603	2518	1650
604	2520	1645
605	2525	1641
606	2529	1637
607	2533	1633
608	2537	1629
609	2541	1624
610	2545	1620
611	2549	1616
612	2553	1611
613	2556	1607
614	2560	1602
615	2576	1606
616	2585	1604
617	2589	1600
618	2592	1595
619	2596	1591
620	2599	1586
621	2603	1581
622	2606	1577
623	2609	1572
624	2612	1567
625	2615	1562
626	2620	1558
627	2629	1557
628	2633	1553
629	2638	1549
630	2644	1546
631	2647	1541
632	2650	1536
633	2653	1532
634	2657	1527
635	2662	1523
636	2666	1519
637	2671	1515
638	2678	1513
639	2682	1509
640	2687	1505
641	2692	1501
642	2696	1497
643	2699	1492
644	2703	1488
645	2707	1483
646	2710	1478
647	2715	1475
648	2720	1471
649	2725	1467
650	2729	1463
651	2733	1458
652	2739	1455
653	2742	1450
654	2756	1451
655	2777	1456
656	2779	1451
657	2782	1446
658	2785	1441
659	2790	1437
660	2793	1432
661	2796	1427
662	2799	1422
663	2802	1418
664	2805	1413
665	2823	1415
666	2826	1410
667	2829	1406
668	2832	1401
669	2835	1396
670	2838	1391
671	2841	1387
672	2844	1382
673	2847	1377
674	2851	1372
675	2861	1371
676	2866	1367
677	2870	1363
678	2873	1358
679	2877	1353
680	2880	1349
681	2883	1344
682	2886	1339
683	2889	1334
684	2892	1330
685	2895	1325
686	2899	1320
687	2903	1316
688	2908	1312
689	2913	1308
690	2917	1304
691	2920	1299
692	2922	1294
693	2927	1290
694	2931	1286
695	2934	1281
696	2948	1281
697	2962	1281
698	2966	1277
699	2969	1272
700	2972	1268
701	2978	1264
702	2982	1259
703	2985	1255
704	2988	1250
705	2992	1246
706	2995	1241
707	3000	1237
708	3005	1233
709	3010	1229
710	3013	1224
711	3016	1219
712	3018	1215
713	3021	1210
714	3024	1205
715	3027	1200
716	3031	1196
717	3034	1191
718	3036	1186
719	3039	1182
720	3043	1177
721	3047	1173
722	3053	1169
723	3057	1165
724	3060	1160
725	3063	1156
726	3066	1151
727	3069	1146
728	3072	1142
729	3075	1137
730	3077	1132
731	3080	1127
732	3083	1123
733	3087	1118
734	3090	1114
735	3094	1110
736	3099	1105
737	3104	1102
738	3107	1097
739	3109	1092
740	3112	1087
741	3115	1083
742	3120	1079
743	3124	1075
744	3129	1071
745	3154	1074
746	3157	1069
747	3160	1064
748	3163	1060
749	3166	1055
750	3171	1051
751	3174	1046
752	3177	1042
753	3180	1037
754	3183	1033
755	3189	1029
756	3195	1025
757	3200	1021
758	3203	1017
759	3206	1012
760	3209	1008
761	3213	1003
762	3216	999
763	3219	994
764	3222	989
765	3225	985
766	3228	980
767	3231	976
768	3236	972
769	3240	967
770	3245	963
771	3249	959
772	3252	955
773	3255	950
774	3257	945
775	3261	941
776	3264	936
777	3267	932
778	3270	927
779	3273	923
780	3276	918
781	3279	914
782	3284	910
783	3288	905
784	3292	901
785	3296	897
786	3299	892
787	3302	888
788	3305	883
789	3308	879
790	3312	875
791	3315	870
792	3319	866
793	3329	863
794	3345	862
795	3348	858
796	3351	853
797	3354	849
798	3358	844
799	3361	840
800	3364	835
801	3367	831
802	3370	826
803	3387	825
804	3390	821
805	3393	816
806	3396	812
807	3399	807
808	3402	803
809	3405	798
810	3408	794
811	3411	789
812	3414	785
813	3417	780
814	3431	778
815	3437	775
816	3440	770
817	3443	766
818	3446	761
819	3449	757
820	3452	752
821	3455	748
822	3458	743
823	3461	739
824	3465	735
825	3468	730
826	3472	726
827	3477	722
828	3482	718
829	3485	713
830	3488	709
831	3491	704
832	3494	700
833	3497	696
834	3500	691
835	3504	687
836	3512	684
837	3523	681
838	3529	677
839	3534	673
840	3538	668
841	3541	664
842	3544	660
843	3548	655
844	3551	651
845	3554	646
846	3557	642
847	3560	638
848	3568	634
849	3573	630
850	3578	626
851	3581	622
852	3584	617
853	3587	613
854	3590	608
855	3593	604
856	3596	600
857	3599	595
858	3602	591
859	3606	587
860	3609	582
861	3615	578
862	3620	574
863	3626	570
864	3629	566
865	3632	562
866	3635	557
867	3638	553
868	3641	549
869	3645	544
870	3648	540
871	3651	536
872	3655	531
873	3664	528
874	3675	525
875	3678	520
876	3681	516
877	3684	511
878	3687	507
879	3690	503
880	3693	498
881	3698	494
882	3713	492
883	3718	487
884	3723	483
885	3726	479
886	3730	475
887	3733	470
888	3736	466
889	3739	462
890	3742	457
891	3746	453
892	3749	449
893	3754	445
894	3758	440
895	3764	436
896	3767	432
897	3771	428
898	3774	424
899	3781	420
900	3784	415
901	3787	411
902	3790	407
903	3794	403
904	3799	398
905	3804	394
906	3810	390
907	3820	387
908	3831	383
909	3843	380
910	3850	376
911	3855	372
912	3860	367
913	3863	363
914	3872	359
915	3879	355
916	3898	352
917	3918	350
918	3921	345
919	3925	341
920	3928	336
921	3932	332
922	3936	328
923	3944	324
924	3948	320
925	3952	315
926	3955	311
927	3958	307
928	3961	302
929	3964	298
930	3967	294
931	3970	289
932	3973	285
933	3975	280
934	3978	276
935	3981	272
936	3984	267
937	3989	263
938	3991	259
939	3994	254
940	3998	250
941	4004	246
942	4007	242
943	4010	237
944	4014	233
945	4019	229
946	4022	225
947	4024	220
948	4027	216
949	4031	212
950	4034	207
951	4039	203
952	4049	199
953	4052	195
954	4054	191
955	4058	186
956	4060	182
957	4064	178
958	4068	173
959	4070	169
960	4073	165
961	4107	162
962	4117	158
963	4120	153
964	4123	149
965	4126	145
966	4131	140
967	4146	137
968	4149	132
969	4152	128
970	4155	124
971	4158	119
972	4161	115
973	4164	111
974	4167	106
975	4170	102
976	4173	98
977	4176	93
978	4181	89
979	4185	85
980	4188	81
981	4191	76
982	4194	72
983	4198	68
984	4200	63
985	4203	59
986	4206	55
987	4210	51
988	4212	46
989	4215	42
990	4218	38
991	4221	34
992	4226	29
993	4232	25
994	4239	21
995	4243	17
996	4247	12
997	4250	8
998	4253	4
999	4256	0
